Time,Actual,Predict
2022-10-20 14:05:00,0.97804,0.98049
2022-10-20 14:10:00,0.97808,0.98073
2022-10-20 14:15:00,0.97850,0.98194
2022-10-20 14:20:00,0.97813,0.98246
2022-10-20 14:25:00,0.97828,0.98213
2022-10-20 14:30:00,0.97856,0.98182
2022-10-20 14:35:00,0.97817,0.98149
2022-10-20 14:40:00,0.97860,0.98172
2022-10-20 14:45:00,0.97871,0.98125
2022-10-20 14:50:00,0.97862,0.98077
2022-10-20 14:55:00,0.97823,0.98139
2022-10-20 15:00:00,0.97772,0.98159
2022-10-20 15:05:00,0.97776,0.98138
2022-10-20 15:10:00,0.97744,0.98130
2022-10-20 15:15:00,0.97745,0.98103
2022-10-20 15:20:00,0.97783,0.98206
2022-10-20 15:25:00,0.97855,0.98226
2022-10-20 15:30:00,0.97866,0.98202
2022-10-20 15:35:00,0.97832,0.98278
2022-10-20 15:40:00,0.97816,0.98149
2022-10-20 15:45:00,0.97852,0.98117
2022-10-20 15:50:00,0.97845,0.98059
2022-10-20 15:55:00,0.97840,0.98079
2022-10-20 16:00:00,0.97845,0.98088
2022-10-20 16:05:00,0.97795,0.98017
2022-10-20 16:10:00,0.97811,0.98060
2022-10-20 16:15:00,0.97849,0.98076
2022-10-20 16:20:00,0.97973,0.98007
2022-10-20 16:25:00,0.97916,0.98040
