Time,Actual,Predict
2022-10-05 21:25:00,0.98707,0.99004
2022-10-05 21:30:00,0.98692,0.99148
2022-10-05 21:35:00,0.98656,0.98794
2022-10-05 21:40:00,0.98637,0.98828
2022-10-05 21:45:00,0.98699,0.98794
2022-10-05 21:50:00,0.98755,0.99065
2022-10-05 21:55:00,0.98740,0.99020
2022-10-05 22:00:00,0.98665,0.98998
2022-10-05 22:05:00,0.98658,0.99207
2022-10-05 22:10:00,0.98650,0.99230
2022-10-05 22:15:00,0.98657,0.99161
2022-10-05 22:20:00,0.98632,0.99074
2022-10-05 22:25:00,0.98688,0.99110
2022-10-05 22:30:00,0.98631,0.99063
2022-10-05 22:35:00,0.98632,0.99058
