Time,Actual,Predict
2022-10-06 14:05:00,0.98821,0.98777
2022-10-06 14:10:00,0.98856,0.98771
2022-10-06 14:15:00,0.98865,0.98792
2022-10-06 14:20:00,0.98767,0.98827
2022-10-06 14:25:00,0.98835,0.98779
2022-10-06 14:30:00,0.98877,0.98741
2022-10-06 14:35:00,0.98886,0.98680
2022-10-06 14:40:00,0.98897,0.98685
2022-10-06 14:45:00,0.98923,0.98616
2022-10-06 14:50:00,0.98917,0.98566
2022-10-06 14:55:00,0.98966,0.98525
2022-10-06 15:00:00,0.98985,0.98572
2022-10-06 15:05:00,0.98997,0.98555
2022-10-06 15:10:00,0.98968,0.98515
2022-10-06 15:15:00,0.98930,0.98504
2022-10-06 15:20:00,0.98951,0.98444
2022-10-06 15:25:00,0.98887,0.98454
2022-10-06 15:30:00,0.98895,0.98449
2022-10-06 15:35:00,0.98888,0.98655
2022-10-06 15:40:00,0.98863,0.98778
