Time,Actual,Predict
2023-01-02 13:55:00,1.06838,1.06829
2023-01-02 14:00:00,1.06825,1.06834
2023-01-02 14:05:00,1.06840,1.06844
2023-01-02 14:10:00,1.06827,1.06841
2023-01-02 14:15:00,1.06833,1.06866
2023-01-02 14:20:00,1.06826,1.06824
2023-01-02 14:25:00,1.06792,1.06827
2023-01-02 14:30:00,1.06778,1.06840
2023-01-02 14:35:00,1.06784,1.06860
2023-01-02 14:40:00,1.06786,1.06836
2023-01-02 14:45:00,1.06787,1.06828
2023-01-02 14:50:00,1.06846,1.06855
2023-01-02 14:55:00,1.06835,1.06824
2023-01-02 15:00:00,1.06861,1.06815
2023-01-02 15:05:00,1.06822,1.06838
2023-01-02 15:10:00,1.06825,1.06817
2023-01-02 15:15:00,1.06810,1.06819
2023-01-02 15:20:00,1.06771,1.06829
2023-01-02 15:25:00,1.06808,1.06828
2023-01-02 15:30:00,1.06805,1.06838
2023-01-02 15:35:00,1.06836,1.06841
2023-01-02 15:40:00,1.06846,1.06843
2023-01-02 15:45:00,1.06834,1.06838
2023-01-02 15:50:00,1.06848,1.06810
2023-01-02 15:55:00,1.06818,1.06821
2023-01-02 16:00:00,1.06830,1.06800
2023-01-02 16:05:00,1.06822,1.06795
2023-01-02 16:10:00,1.06823,1.06800
2023-01-02 16:15:00,1.06827,1.06812
2023-01-02 16:20:00,1.06847,1.06810
2023-01-02 16:25:00,1.06849,1.06805
2023-01-02 16:30:00,1.06842,1.06809
2023-01-02 16:35:00,1.06846,1.06801
2023-01-02 16:40:00,1.06854,1.06790
2023-01-02 16:45:00,1.06852,1.06804
2023-01-02 16:50:00,1.06860,1.06801
2023-01-02 16:55:00,1.06839,1.06758
2023-01-02 17:00:00,1.06829,1.06728
2023-01-02 17:05:00,1.06840,1.06707
2023-01-02 17:10:00,1.06867,1.06723
2023-01-02 17:15:00,1.06847,1.06727
2023-01-02 17:20:00,1.06833,1.06706
2023-01-02 17:25:00,1.06855,1.06691
