Time,Actual,Predict
2022-10-27 14:05:00,1.00669,1.00357
2022-10-27 14:10:00,1.00696,1.00361
2022-10-27 14:15:00,1.00646,1.00377
2022-10-27 14:20:00,1.00616,1.00483
2022-10-27 14:25:00,1.00645,1.00501
2022-10-27 14:30:00,1.00593,1.00512
2022-10-27 14:35:00,1.00602,1.00486
2022-10-27 14:40:00,1.00587,1.00497
2022-10-27 14:45:00,1.00536,1.00522
2022-10-27 14:50:00,1.00500,1.00496
2022-10-27 14:55:00,1.00480,1.00467
2022-10-27 15:00:00,1.00469,1.00490
2022-10-27 15:05:00,1.00470,1.00456
2022-10-27 15:10:00,1.00424,1.00430
2022-10-27 15:15:00,1.00349,1.00367
