Time,Actual,Predict
2022-10-06 14:05:00,0.98821,0.98778
2022-10-06 14:10:00,0.98856,0.98772
2022-10-06 14:15:00,0.98865,0.98776
2022-10-06 14:20:00,0.98767,0.98838
2022-10-06 14:25:00,0.98835,0.98791
2022-10-06 14:30:00,0.98877,0.98722
2022-10-06 14:35:00,0.98886,0.98655
2022-10-06 14:40:00,0.98897,0.98687
2022-10-06 14:45:00,0.98923,0.98632
2022-10-06 14:50:00,0.98917,0.98553
2022-10-06 14:55:00,0.98966,0.98519
2022-10-06 15:00:00,0.98985,0.98570
2022-10-06 15:05:00,0.98997,0.98559
2022-10-06 15:10:00,0.98968,0.98530
2022-10-06 15:15:00,0.98930,0.98463
2022-10-06 15:20:00,0.98951,0.98457
2022-10-06 15:25:00,0.98887,0.98444
2022-10-06 15:30:00,0.98895,0.98446
2022-10-06 15:35:00,0.98888,0.98694
2022-10-06 15:40:00,0.98863,0.98634
2022-10-06 15:45:00,0.98868,0.98675
2022-10-06 15:50:00,0.98892,0.98634
2022-10-06 15:55:00,0.98824,0.98587
2022-10-06 16:00:00,0.98786,0.98739
2022-10-06 16:05:00,0.98789,0.98520
2022-10-06 16:10:00,0.98833,0.98533
2022-10-06 16:15:00,0.98829,0.98436
2022-10-06 16:20:00,0.98856,0.98404
2022-10-06 16:25:00,0.98832,0.98511
2022-10-06 16:30:00,0.98801,0.98366
2022-10-06 16:35:00,0.98854,0.98394
2022-10-06 16:40:00,0.98842,0.98476
2022-10-06 16:45:00,0.98844,0.98456
2022-10-06 16:50:00,0.98841,0.98365
2022-10-06 16:55:00,0.98890,0.98284
2022-10-06 17:00:00,0.98803,0.98246
2022-10-06 17:05:00,0.98759,0.98292
2022-10-06 17:10:00,0.98700,0.98289
2022-10-06 17:15:00,0.98748,0.98319
2022-10-06 17:20:00,0.98651,0.98373
2022-10-06 17:25:00,0.98606,0.98432
2022-10-06 17:30:00,0.98594,0.98421
2022-10-06 17:35:00,0.98686,0.98342
2022-10-06 17:40:00,0.98648,0.98367
2022-10-06 17:45:00,0.98622,0.98373
2022-10-06 17:50:00,0.98598,0.98420
2022-10-06 17:55:00,0.98566,0.98415
2022-10-06 18:00:00,0.98611,0.98423
2022-10-06 18:05:00,0.98583,0.98425
2022-10-06 18:10:00,0.98716,0.98429
2022-10-06 18:15:00,0.98813,0.98366
2022-10-06 18:20:00,0.98800,0.98379
2022-10-06 18:25:00,0.98731,0.98362
2022-10-06 18:30:00,0.98695,0.98353
2022-10-06 18:35:00,0.98685,0.98321
2022-10-06 18:40:00,0.98570,0.98324
2022-10-06 18:45:00,0.98540,0.98247
2022-10-06 18:50:00,0.98520,0.98224
2022-10-06 18:55:00,0.98499,0.98183
2022-10-06 19:00:00,0.98425,0.98129
2022-10-06 19:05:00,0.98330,0.98050
2022-10-06 19:10:00,0.98407,0.98038
2022-10-06 19:15:00,0.98443,0.97960
2022-10-06 19:20:00,0.98423,0.97937
2022-10-06 19:25:00,0.98256,0.97967
2022-10-06 19:30:00,0.98239,0.98001
2022-10-06 19:35:00,0.98290,0.97898
2022-10-06 19:40:00,0.98252,0.97990
2022-10-06 19:45:00,0.98240,0.98022
2022-10-06 19:50:00,0.98289,0.98038
2022-10-06 19:55:00,0.98360,0.98017
