Time,Actual,Predict
2023-01-26 19:25:00,1.08884,1.08635
2023-01-26 19:30:00,1.08824,1.08608
2023-01-26 19:35:00,1.08868,1.08609
2023-01-26 19:40:00,1.08882,1.08626
2023-01-26 19:45:00,1.08845,1.08605
2023-01-26 19:50:00,1.08911,1.08612
2023-01-26 19:55:00,1.08936,1.08656
2023-01-26 20:00:00,1.08901,1.08647
2023-01-26 20:05:00,1.08877,1.08671
2023-01-26 20:10:00,1.08762,1.08684
2023-01-26 20:15:00,1.08698,1.08690
2023-01-26 20:20:00,1.08747,1.08681
2023-01-26 20:25:00,1.08696,1.08682
2023-01-26 20:30:00,1.08581,1.08734
2023-01-26 20:35:00,1.08552,1.08832
2023-01-26 20:40:00,1.08623,1.08814
2023-01-26 20:45:00,1.08646,1.08836
2023-01-26 20:50:00,1.08670,1.08855
2023-01-26 20:55:00,1.08643,1.08887
2023-01-26 21:00:00,1.08513,1.08878
2023-01-26 21:05:00,1.08633,1.08864
2023-01-26 21:10:00,1.08603,1.08863
2023-01-26 21:15:00,1.08608,1.08868
2023-01-26 21:20:00,1.08657,1.08872
2023-01-26 21:25:00,1.08659,1.08892
2023-01-26 21:30:00,1.08644,1.08867
2023-01-26 21:35:00,1.08647,1.08862
2023-01-26 21:40:00,1.08638,1.08867
2023-01-26 21:45:00,1.08683,1.08855
2023-01-26 21:50:00,1.08678,1.08850
