Time,Actual,Predict
2022-10-12 21:25:00,0.96948,0.97083
2022-10-12 21:30:00,0.96895,0.97088
2022-10-12 21:35:00,0.96907,0.97101
2022-10-12 21:40:00,0.96888,0.97090
2022-10-12 21:45:00,0.96912,0.97084
2022-10-12 21:50:00,0.96873,0.97043
2022-10-12 21:55:00,0.96880,0.97009
2022-10-12 22:00:00,0.96902,0.96987
2022-10-12 22:05:00,0.96923,0.96960
2022-10-12 22:10:00,0.96901,0.96969
2022-10-12 22:15:00,0.96842,0.96987
2022-10-12 22:20:00,0.96834,0.97011
2022-10-12 22:25:00,0.96811,0.97024
2022-10-12 22:30:00,0.96818,0.97008
2022-10-12 22:35:00,0.96837,0.97013
2022-10-12 22:40:00,0.96830,0.97038
2022-10-12 22:45:00,0.96838,0.97051
2022-10-12 22:50:00,0.96851,0.97053
2022-10-12 22:55:00,0.96867,0.97037
