Time,Actual,Predict
2022-10-06 14:05:00,0.98821,0.98770
2022-10-06 14:10:00,0.98856,0.98775
2022-10-06 14:15:00,0.98865,0.98776
2022-10-06 14:20:00,0.98767,0.98832
2022-10-06 14:25:00,0.98835,0.98784
2022-10-06 14:30:00,0.98877,0.98735
2022-10-06 14:35:00,0.98886,0.98677
2022-10-06 14:40:00,0.98897,0.98697
2022-10-06 14:45:00,0.98923,0.98630
2022-10-06 14:50:00,0.98917,0.98545
2022-10-06 14:55:00,0.98966,0.98527
2022-10-06 15:00:00,0.98985,0.98573
2022-10-06 15:05:00,0.98997,0.98548
