Time,Actual,Predict
2023-01-30 18:35:00,1.08862,1.08676
2023-01-30 18:40:00,1.08882,1.08668
2023-01-30 18:45:00,1.08919,1.08667
2023-01-30 18:50:00,1.08881,1.08672
2023-01-30 18:55:00,1.08834,1.08672
2023-01-30 19:00:00,1.08813,1.08656
2023-01-30 19:05:00,1.08848,1.08642
2023-01-30 19:10:00,1.08958,1.08618
2023-01-30 19:15:00,1.08988,1.08657
2023-01-30 19:20:00,1.08974,1.08632
2023-01-30 19:25:00,1.08950,1.08626
2023-01-30 19:30:00,1.08868,1.08616
2023-01-30 19:35:00,1.08915,1.08600
2023-01-30 19:40:00,1.08988,1.08604
2023-01-30 19:45:00,1.08948,1.08623
2023-01-30 19:50:00,1.08939,1.08613
2023-01-30 19:55:00,1.08901,1.08598
2023-01-30 20:00:00,1.08854,1.08589
2023-01-30 20:05:00,1.08867,1.08588
2023-01-30 20:10:00,1.08793,1.08571
2023-01-30 20:15:00,1.08773,1.08536
2023-01-30 20:20:00,1.08819,1.08560
2023-01-30 20:25:00,1.08829,1.08573
2023-01-30 20:30:00,1.08723,1.08558
2023-01-30 20:35:00,1.08708,1.08542
2023-01-30 20:40:00,1.08718,1.08536
2023-01-30 20:45:00,1.08690,1.08536
2023-01-30 20:50:00,1.08712,1.08545
2023-01-30 20:55:00,1.08724,1.08547
2023-01-30 21:00:00,1.08679,1.08546
2023-01-30 21:05:00,1.08660,1.08535
2023-01-30 21:10:00,1.08673,1.08491
2023-01-30 21:15:00,1.08667,1.08464
2023-01-30 21:20:00,1.08669,1.08441
2023-01-30 21:25:00,1.08670,1.08431
2023-01-30 21:30:00,1.08671,1.08432
2023-01-30 21:35:00,1.08659,1.08424
2023-01-30 21:40:00,1.08637,1.08442
2023-01-30 21:45:00,1.08626,1.08447
2023-01-30 21:50:00,1.08649,1.08447
