Time,Actual,Predict
2023-01-30 06:55:00,1.08691,1.08760
2023-01-30 07:00:00,1.08698,1.08766
2023-01-30 07:05:00,1.08695,1.08747
2023-01-30 07:10:00,1.08687,1.08752
2023-01-30 07:15:00,1.08674,1.08758
2023-01-30 07:20:00,1.08697,1.08740
2023-01-30 07:25:00,1.08695,1.08734
2023-01-30 07:30:00,1.08708,1.08711
2023-01-30 07:35:00,1.08692,1.08697
2023-01-30 07:40:00,1.08667,1.08679
2023-01-30 07:45:00,1.08662,1.08659
2023-01-30 07:50:00,1.08664,1.08689
2023-01-30 07:55:00,1.08679,1.08692
2023-01-30 08:00:00,1.08687,1.08692
2023-01-30 08:05:00,1.08680,1.08664
2023-01-30 08:10:00,1.08664,1.08647
2023-01-30 08:15:00,1.08672,1.08633
2023-01-30 08:20:00,1.08680,1.08631
2023-01-30 08:25:00,1.08674,1.08674
2023-01-30 08:30:00,1.08682,1.08683
2023-01-30 08:35:00,1.08686,1.08685
2023-01-30 08:40:00,1.08694,1.08657
2023-01-30 08:45:00,1.08746,1.08639
2023-01-30 08:50:00,1.08782,1.08615
2023-01-30 08:55:00,1.08765,1.08598
2023-01-30 09:00:00,1.08741,1.08622
2023-01-30 09:05:00,1.08746,1.08654
2023-01-30 09:10:00,1.08752,1.08684
2023-01-30 09:15:00,1.08772,1.08637
2023-01-30 09:20:00,1.08763,1.08579
2023-01-30 09:25:00,1.08771,1.08572
2023-01-30 09:30:00,1.08752,1.08575
2023-01-30 09:35:00,1.08764,1.08600
2023-01-30 09:40:00,1.08734,1.08595
2023-01-30 09:45:00,1.08756,1.08581
2023-01-30 09:50:00,1.08756,1.08561
2023-01-30 09:55:00,1.08743,1.08554
2023-01-30 10:00:00,1.08740,1.08616
2023-01-30 10:05:00,1.08713,1.08690
2023-01-30 10:10:00,1.08706,1.08760
2023-01-30 10:15:00,1.08678,1.08804
2023-01-30 10:20:00,1.08658,1.08836
2023-01-30 10:25:00,1.08684,1.08823
2023-01-30 10:30:00,1.08689,1.08780
2023-01-30 10:35:00,1.08693,1.08823
2023-01-30 10:40:00,1.08660,1.08861
2023-01-30 10:45:00,1.08639,1.08898
2023-01-30 10:50:00,1.08637,1.08882
2023-01-30 10:55:00,1.08634,1.08794
2023-01-30 11:00:00,1.08678,1.08815
2023-01-30 11:05:00,1.08680,1.08830
2023-01-30 11:10:00,1.08681,1.08826
2023-01-30 11:15:00,1.08655,1.08892
2023-01-30 11:20:00,1.08628,1.08863
2023-01-30 11:25:00,1.08607,1.08977
2023-01-30 11:30:00,1.08593,1.08931
2023-01-30 11:35:00,1.08621,1.08932
2023-01-30 11:40:00,1.08658,1.08955
2023-01-30 11:45:00,1.08677,1.08968
2023-01-30 11:50:00,1.08643,1.09068
2023-01-30 11:55:00,1.08558,1.08996
2023-01-30 12:00:00,1.08578,1.09046
2023-01-30 12:05:00,1.08567,1.09101
2023-01-30 12:10:00,1.08594,1.09113
2023-01-30 12:15:00,1.08593,1.09065
2023-01-30 12:20:00,1.08578,1.09097
2023-01-30 12:25:00,1.08554,1.09135
2023-01-30 12:30:00,1.08558,1.09143
2023-01-30 12:35:00,1.08598,1.09121
2023-01-30 12:40:00,1.08728,1.09078
2023-01-30 12:45:00,1.08791,1.09050
2023-01-30 12:50:00,1.08838,1.09133
2023-01-30 12:55:00,1.08865,1.09103
2023-01-30 13:00:00,1.08822,1.09101
2023-01-30 13:05:00,1.08790,1.09063
2023-01-30 13:10:00,1.08825,1.09048
2023-01-30 13:15:00,1.08845,1.09062
