Time,Actual,Predict
2023-01-30 18:35:00,1.08862,1.08680
2023-01-30 18:40:00,1.08882,1.08668
2023-01-30 18:45:00,1.08919,1.08665
2023-01-30 18:50:00,1.08881,1.08665
2023-01-30 18:55:00,1.08834,1.08666
2023-01-30 19:00:00,1.08813,1.08653
2023-01-30 19:05:00,1.08848,1.08644
2023-01-30 19:10:00,1.08958,1.08618
2023-01-30 19:15:00,1.08988,1.08656
2023-01-30 19:20:00,1.08974,1.08631
2023-01-30 19:25:00,1.08950,1.08630
2023-01-30 19:30:00,1.08868,1.08616
2023-01-30 19:35:00,1.08915,1.08602
2023-01-30 19:40:00,1.08988,1.08603
2023-01-30 19:45:00,1.08948,1.08612
2023-01-30 19:50:00,1.08939,1.08614
2023-01-30 19:55:00,1.08901,1.08600
