,time,close,open,high,low,ma5,rsi,macd_l,macd_s,tenkan_sen,kijun_sen,chikou_span
0,2022-12-01 00:00:00,1.04052,1.0408,1.0408,1.04028,,,,,,,1.04276
1,2022-12-01 00:05:00,1.0401,1.04065,1.04069,1.04005,,,,,,,1.04311
2,2022-12-01 00:10:00,1.03992,1.04005,1.04025,1.03984,,,,,,,1.04322
3,2022-12-01 00:15:00,1.03999,1.03995,1.04,1.03988,,,,,,,1.04321
4,2022-12-01 00:20:00,1.04022,1.03998,1.04024,1.0399,1.040149974822998,,,,,,1.04305
5,2022-12-01 00:25:00,1.04054,1.04022,1.04072,1.04014,1.040153980255127,,,,,,1.0432
6,2022-12-01 00:30:00,1.04067,1.04059,1.04069,1.04059,1.0402679920196534,,,,,,1.04326
7,2022-12-01 00:35:00,1.04052,1.04061,1.0407,1.04049,1.0403879880905151,,,,,,1.04363
8,2022-12-01 00:40:00,1.04062,1.04049,1.04064,1.0403,1.0405139923095703,,,,1.040399968624115,,1.04353
9,2022-12-01 00:45:00,1.0404,1.04058,1.04069,1.04037,1.0405499935150146,,,,1.0403599739074707,,1.0439
10,2022-12-01 00:50:00,1.04033,1.04042,1.04064,1.04026,1.040508008003235,45.28099903470132,,,1.0403599739074707,,1.0443
11,2022-12-01 00:55:00,1.04072,1.04038,1.04101,1.04025,1.0405179977416992,60.46058689395522,,,1.0405049920082092,,1.04475
12,2022-12-01 01:00:00,1.04174,1.04072,1.04188,1.04072,1.0407619953155518,78.1096633280219,,,1.0410600304603577,,1.04449
13,2022-12-01 01:05:00,1.04157,1.04174,1.04185,1.04156,1.0409519910812377,72.14603621067533,,,1.041260004043579,,1.04413
14,2022-12-01 01:10:00,1.04174,1.04156,1.04184,1.04111,1.0412199735641479,74.32418453899562,,,1.041260004043579,,1.0437
15,2022-12-01 01:15:00,1.04148,1.04175,1.04189,1.04137,1.0414499521255494,65.60579485415481,,,1.0412650108337402,,1.04335
16,2022-12-01 01:20:00,1.04124,1.04149,1.04151,1.04117,1.0415539503097535,58.56111790535816,,,1.0412650108337402,,1.04353
