,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t)
6580,0.26003838,0.26094246,0.26917267,0.27071953,0.26218033,0.28102696,0.26009256,0.21929684,0.27717018,0.28721046,0.25647163,0.26477242
6581,0.26477242,0.2592373,0.26615143,0.26807785,0.26267815,0.34466344,0.26882392,0.22706664,0.27409744,0.27881813,0.24777985,0.24981117
6582,0.24981117,0.2643547,0.26331902,0.24957657,0.25907326,0.25769848,0.26710975,0.2328986,0.27275276,0.27368927,0.24295235,0.24564362
6583,0.24564362,0.24957275,0.24801826,0.24957657,0.25512314,0.23773564,0.265019,0.23709601,0.2640171,0.261055,0.25955963,0.25151443
6584,0.25151443,0.24521446,0.25122833,0.2525959,0.2531662,0.31480825,0.2699006,0.24154705,0.2623825,0.25937653,0.27636147,0.24318123
6585,0.24318123,0.2510891,0.24990654,0.25070763,0.24975204,0.26836312,0.26994038,0.24511679,0.25911903,0.25937653,0.286211,0.23106003
6586,0.23106003,0.24275208,0.24480629,0.24108124,0.24292564,0.21316402,0.26345295,0.24651986,0.25748825,0.25769806,0.28235054,0.23124886
6587,0.23124886,0.23081207,0.23630714,0.23900414,0.23916435,0.21573724,0.26080787,0.24705002,0.25,0.25325775,0.29084778,0.24128723
6588,0.24128723,0.23100281,0.23932838,0.2422123,0.23828316,0.34508014,0.26830846,0.24915375,0.25,0.25325775,0.2952881,0.24507523
6589,0.24507523,0.24066544,0.24518394,0.24995232,0.23697853,0.38894337,0.27916366,0.25326753,0.24846458,0.25325775,0.30127525,0.25492477
6590,0.25492477,0.24464607,0.25330734,0.25410652,0.23935509,0.49169856,0.2968954,0.26052916,0.24702454,0.25325775,0.30591202,0.25151443
6591,0.25151443,0.25469017,0.25689507,0.26052475,0.24349785,0.46296793,0.3102479,0.26932853,0.24375916,0.25325775,0.29953575,0.253788
6592,0.253788,0.25090027,0.2557621,0.26052475,0.24806404,0.4870314,0.32411703,0.27947372,0.24375916,0.25325775,0.29606056,0.24545479
6593,0.24545479,0.252985,0.25425148,0.25240707,0.248909,0.41493165,0.33058047,0.2890372,0.24375916,0.25039482,0.28756332,0.2448864
6594,0.2448864,0.24502563,0.24688339,0.2539177,0.24886894,0.4102174,0.3367698,0.29807395,0.24375916,0.25039482,0.30069733,0.24015236
6595,0.24015236,0.24426651,0.24764061,0.24995232,0.24587822,0.37061876,0.33966848,0.3059525,0.24375916,0.24733543,0.31479263,0.2448864
6596,0.2448864,0.24009895,0.24707222,0.24731064,0.24453735,0.4336974,0.34678757,0.31384945,0.24529266,0.24733543,0.31440926,0.25359917
6597,0.25359917,0.24426651,0.25217247,0.24957657,0.2444973,0.53450847,0.36000213,0.32312614,0.24827003,0.24733543,0.29953575,0.25416565
6598,0.25416565,0.252985,0.25689507,0.26033592,0.24625969,0.5406604,0.3719648,0.3332263,0.24913406,0.24417496,0.3111267,0.25416565
6599,0.25416565,0.25393105,0.25595093,0.26373482,0.24814034,0.5406604,0.38240147,0.3436435,0.24913406,0.24417496,0.31846237,0.26647758
6600,0.26647758,0.25393105,0.26482964,0.26335526,0.25347137,0.6680854,0.40040585,0.35600895,0.2531681,0.24318886,0.3263836,0.2653408
6601,0.2653408,0.2662506,0.2659626,0.27562714,0.25761414,0.65185976,0.41443264,0.36904234,0.25374413,0.2415123,0.35882568,0.2710228
6602,0.2710228,0.2649231,0.27030563,0.27562714,0.26114464,0.70299304,0.43010077,0.38297758,0.25595093,0.23815536,0.34627342,0.279356
6603,0.279356,0.270607,0.28182793,0.28185654,0.2662449,0.7660559,0.44879022,0.39831087,0.26190186,0.2415123,0.3435688,0.2742424
6604,0.2742424,0.27894592,0.2774849,0.2760067,0.27031326,0.6881591,0.45993227,0.41307256,0.26190186,0.2415123,0.33236885,0.26742363
6605,0.26742363,0.2738285,0.2769165,0.27694893,0.2705021,0.59622043,0.4638043,0.42574894,0.26449585,0.2415123,0.32309914,0.25852394
6606,0.25852394,0.2668171,0.2727623,0.2677002,0.26912117,0.49660283,0.46043453,0.43513548,0.26641655,0.2415123,0.32097435,0.25359917
6607,0.25359917,0.25791168,0.26426315,0.26052475,0.26559448,0.44891876,0.45429784,0.44127053,0.26641655,0.2415123,0.3093872,0.26117325
6608,0.26117325,0.25336456,0.25954056,0.25958252,0.2619114,0.5335443,0.4550807,0.44635385,0.26823997,0.2415123,0.31517982,0.2761364
6609,0.2761364,0.2605629,0.27578545,0.27071953,0.26229477,0.66074336,0.4666056,0.4530013,0.26823997,0.2415123,0.3259964,0.29375076
6610,0.29375076,0.27534485,0.29221725,0.28317833,0.2676258,0.7623388,0.48832923,0.4631838,0.27352142,0.24694061,0.3294716,0.29507637
6611,0.29507637,0.29429626,0.30185127,0.30054855,0.27503014,0.7688375,0.50604343,0.4752965,0.2784176,0.2519741,0.30475044,0.29621124
6612,0.29621124,0.29467583,0.29807472,0.2973385,0.2836609,0.77480996,0.5202777,0.48817414,0.2784176,0.2519741,0.30861473,0.30568123
6613,0.30568123,0.29600143,0.30638695,0.3037567,0.29267502,0.82181835,0.5376354,0.50236315,0.28072166,0.25592232,0.31131744,0.3130684
6614,0.3130684,0.30509567,0.31072998,0.3139515,0.30015373,0.8533273,0.5557406,0.5177686,0.28292847,0.26124954,0.31015968,0.31742287
6615,0.31742287,0.31248665,0.31658554,0.31999207,0.3049488,0.87060267,0.57203764,0.53374237,0.28590393,0.26519775,0.3097725,0.31552887
6616,0.31552887,0.31703568,0.3211193,0.31753922,0.30909157,0.8421836,0.5822235,0.5488023,0.28821182,0.2675686,0.2962532,0.31344795
6617,0.31344795,0.31513977,0.3148842,0.3181038,0.31258202,0.80973047,0.5873701,0.5620027,0.29646492,0.2675686,0.2800312,0.30530357
6618,0.30530357,0.31267738,0.3114853,0.3097973,0.31250763,0.69192004,0.5841365,0.571839,0.304821,0.2675686,0.27288628,0.30018997
6619,0.30018997,0.30490875,0.30317307,0.30658913,0.30989838,0.6268263,0.5765599,0.57801133,0.30779648,0.2675686,0.2624569,0.31647682
6620,0.31647682,0.29998207,0.31601906,0.30696678,0.30970573,0.74165446,0.58110714,0.58396745,0.30779648,0.26766777,0.2620716,0.3316288
6621,0.3316288,0.31608772,0.32980728,0.3271675,0.3129673,0.8151261,0.59428203,0.5916826,0.31480217,0.27220535,0.2686386,0.31647682
6622,0.31647682,0.33143806,0.32943153,0.32452202,0.31358147,0.65853864,0.5922035,0.59738934,0.31480217,0.27486992,0.2773285,0.31477356
